Country;2020;2019;2018;2017
USA;34.28936458;33.53994792;33.19496875;32.85378125
Japan;20.11326563;19.89227604;19.83578646;19.73766146
Norway;28.1393125;27.85658333;27.62204688;27.57471354
Great Britan;24.59692188;24.29975;24.2149375;24.00414583
Switzerland;34.67017188;34.43798958;34.44365625;34.5571875
