,,,,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017
Asia,Near and Middle East/ South-West Asia,Iran (Islamic Republic of),ATS,Methamphetamine,-,Kilogram,,,,,6'396,,8'719,,12'456,6'597,8'853,11'874
Asia,Near and Middle East/ South-West Asia,Israel,ATS,Ecstasy-type substances,-,Tablet,,,,,,,13,20,26,,,
Asia,Near and Middle East/ South-West Asia,Jordan,ATS,Amphetamine,-,200 units,,,,,,,,226,254,,,
Asia,Near and Middle East/ South-West Asia,Pakistan,ATS,Amphetamine,-,Kilogram,,,,5'758,7'198,8'637,5'251,5'808,6'365,4'902,6'377,7'853
Asia,Near and Middle East/ South-West Asia,Pakistan,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,13'012,16'755,20'507,,,
Asia,Near and Middle East/ South-West Asia,Pakistan,ATS,Ecstasy-type substances,-,Kilogram,,,,,,,,,,16,22,29
Asia,Near and Middle East/ South-West Asia,Pakistan,ATS,Ecstasy-type substances,-,Tablet,,,,13,18,22,,,,,,
Asia,Near and Middle East/ South-West Asia,Pakistan,ATS,Methamphetamine,-,Kilogram,,,,6'812,6'812,6'812,,10'979,,7'615,9'423,11'232
Asia,Near and Middle East/ South-West Asia,Qatar,ATS,Amphetamine,-,100 milligram,,,,,,,11,11,16,,,
Asia,Near and Middle East/ South-West Asia,Qatar,ATS,Amphetamine,-,Tablet,,,,14,,19,,,,,,
Asia,Near and Middle East/ South-West Asia,Qatar,ATS,Methamphetamine,-,Gram,,,,,412,,275,330,330,,,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,ATS,Amphetamine,-,200 tablets,,,,1'511,,2'533,,,,,,
Asia,Near and Middle East/ South-West Asia,Saudi Arabia,ATS,Amphetamine,-,Kilogram,,,,,,,,93'308,,3'800,,11'400
Asia,Near and Middle East/ South-West Asia,United Arab Emirates,ATS,Amphetamine,-,1000  tablets,,,,,,,,,,8'168,9'202,10'210
Asia,Near and Middle East/ South-West Asia,United Arab Emirates,ATS,Methamphetamine,-,Kilogram,,,,,,,21'781,24'503,27'226,8'168,10'890,13'613
Europe,Eastern Europe,Belarus,ATS,Amphetamine,-,Gram,,,,,,,20,30,40,,,
Europe,Eastern Europe,Belarus,ATS,Amphetamine,-,Kilogram,,,,,,,,,,20'000,30'000,40'000
Europe,Eastern Europe,Belarus,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,,,,5'000,10'000,15'000
Europe,Eastern Europe,Belarus,ATS,Ecstasy-type substances,-,Tablet,,,,,,,5,10,15,,,
Europe,Eastern Europe,Belarus,ATS,Methamphetamine,-,Gram,,,,,,,20,30,40,,,
Europe,Eastern Europe,Belarus,ATS,Methamphetamine,-,Kilogram,,,,,,,,,,20'000,30'000,40'000
Europe,Eastern Europe,Russian Federation,ATS,Amphetamine,-,Kilogram,11'000,17'000,23'000,6'000,7'000,15'000,3'000,3'700,5'000,15'000,20'000,25'000
Europe,Eastern Europe,Russian Federation,ATS,Ecstasy-type substances,-,Kilogram,11'000,17'000,23'000,,,,,,,,,
Europe,Eastern Europe,Russian Federation,ATS,Methamphetamine,-,Kilogram,,,,,,,,,,20'000,25'000,30'000
