Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,Guatemala,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'532,12'701,,23,1
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24'093,2'081,5,1'359,421,3,,0
,,,,Non-specified ATS,,0,,4,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,Cocaine,"Cocaine (base, paste and salts)",,0,2,5,7,,46,5,,3'162,3'234,15'400,9'500,7'600,1'900,956,3'951,5'098,9'217,9'959,1'518,4'103,2'927,9'194,4'481,5'074,280,711,2'214,6'936,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'458,3'960,4'700,3'977,5'082,6'175,12'818,13'659,16'830
,,,,Crack,,,,,,,,,,,,,,,,,,,,6,20,5,7,7,1,11,7,7,7,7,5,8,6,4,4,6,5,4,7
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,0,,,,,,,,,,13,17,4,53,10,21,0,0,4,18,,,10,2,21,0,8,17,134,83,143,48,17
,,,,Illicit morphine,,,,,,,,,,19,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,70,1'100,,3'000,,8,217,,44'201,,1'300,700,2'100,1'760,1'011,16'388,256,194,814,158,585,1'098,1'853,1'095,48,345,279,711,2'058,4'354,1'226,,1'211,969,347,1'454,1'583,2'575
,,,Opium,Opium,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
,,,Other drugs,Cannabis plants,,,,3'000,,,,0,,1'412,9'274,,,,,97'125,105'285,58'710,57'606,59'438,29'390,41'810,33'059,326'705,,69'472,15'636,100'682,1'081'782,429'611,,,,252'290,156'064,69'238,313'830,603'335,518'942
,,,,Cannabis seed,,,,,,,2,3,,,,,,,,,428,2,5,78,24,,,26,132,,0,,24,,31,78,13,15,5,23,126,50,59
,,,,Coca leaf,,,,,,,,,,,,,,,,,289,,,,,,,,,,,,,,,,,,,,,,744
,,,,Depressants (excluding Methaqualone),,0,0,6,0,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,,,,,,,,
,,,,LSD,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,955,,,,,,,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'062,,,,,,,,
,,,,Poppy plants,,,,,,,,,,156'385,17'023,,,,,,,6'914,11'424,2'310,2'062,,,930,544'090,,,24'153'765,27'880'441,69'228'416,54'612'442,,,10'935'532,864'150,,,,
,,,,Poppy seed,,,,,,,,,,,0,,,,,,,0,2,55,1,,,,8,,,,,,10,,,,,,,13,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12'065,989,95,,,,,,,
,,Honduras,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,
,,,,"Cocaine (base, paste and salts)",0,0,39,612,1'084,1,849,0,1'403,13,364,,1'500,48,930,409,3'275,2'188,1'804,709,1'215,717,79,5'649,3'935,473,2'714,,6'468,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'812,,5'437,7'104,13'904,2'282,1'700,11'716,2'047,800,2'156,2'788
,,,,Crack,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,,0,2'181,3,2'939,,,0,0,1,1,3
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,
,,,Heroine and Morphine,Heroin,,,,,,,,,0,,,,,,4,,,,,,,,,13,10,3,,1,20,,,8,182,,,0,,0,
,,,Marijuana (herb),Marijuana (herb),171,222,19,20'865,1'068,120,1'108,188,130,482,109,,534,,399,490,472,2,1'293,1'583,1'112,1'231,417,1'473,1'474,878,227,399,3'178,1'999,1'512,970,5'930,,29'890,2'668,4'936,5'103,10'925
,,,Other drugs,Cannabis plants,1'257,2'844,1'037,250,1'335,,70'912,555,207,83,1'238,,,,,272'992,2'309,33'732,28'641,13'368,8'386,24'895,4'140,36'588,7'917,81,6'818,1'788,3'546,377,600,142,271,408,698,1'007,2'425,8'388,72'043
,,,,Cannabis seed,0,7,7,146,,1,10,5,,,15,,,,,73,,3,,,2,,,9,,,,,,,,,,,,0,1,111,64
,,,,Coca leaf,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,120,3'960
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,
,,,,Non-specified,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1'274,,,,,
,,Nicaragua,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,3,,,,
,,,,Non-specified ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,0,,,,762,300,458,1'338,1'507,399,2'791,4'752,833,961,2'718,2'207,1'110,3'703,6'947,9'720,13,19'500,9'800,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17'500,8'831,9'300,3'000,5'367,,4'170,4'800,2'580
,,,,Crack,,,,,,,,,,,,,,,,,,,,,2,,2,1,1,5,,3,,2,,,4,,4,,,,
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4'250,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,18,,,1,1,2,,2,2,8,53,90,54,54,23,180,53,5,,86,13,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,61,,,8,,,,683,839,1'035,401,459,854,285,613,754,737,587,631,381,386,530,,374,,510,,342,986,250,2'233,358,1'960,1'170,1'580
,,,Other drugs,Cannabis plants,,248,,,,,,,,,,,,,9'925,,53'528,24'239,83'394,1'357,8'307,11'600,14'497,12'875,4'143,,,2'683,,53,,,,,301,216,,,3'682
,,,,Cannabis seed,,,,,0,,,,,,,,,,,,5,2,,,1,,,,,0,,,,,,,,,0,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,
,,Panama,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,346,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'700,,,,,,
,,,,"Cocaine (base, paste and salts)",54,36,93,58,34,106,434,1'259,1'529,1'970,4'002,,8'799,2'870,5'175,7'228,8'656,11'323,11'772,3'120,7'400,2'656,2'586,9'487,7'068,15'608,36'000,60'000,51'000,52'443,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52'429,,30'800,41'014,35'110,52'262,65'275,63'653,57'211
,,,,Crack,,,,,,,,,,,,,,,5,2,3,2,56,20,13,4,2,,,2'711,,,,194,266,295,1'877,162,706,1'149,853,870,414
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34'133,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,1,,,0,,0,2,0,0,0,0,0,2
,,,Hashish (resin),Hashish (resin),,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,4,,,,9,8,2,30,11,33,23,46,39,87,101,205,91,18,107,96,,91,95,195,111,123,46,29,4,0,11
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
,,,Marijuana (herb),Marijuana (herb),31'271,989,1'942,402,322'639,1'074,128,167,74,1'837,107,,8'003,,122,318,18'127,14'102,16'536,3'477,3'657,1'639,1'842,1'478,2'751,13'470,4'000,3'900,2'000,1'772,1'816,4'942,1'500,2'234,3'149,4'663,5'746,12'953,17'798
,,,Opium,Opium,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Any Illicit drugs,,,,0,,,,,,,,,,,3,9,,2,,,,,,,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,0,,227,,,,,,7'260,,,,,,,2'510,,3'695,,,,,,,,,,,,4,,,,,
,,,,Coca leaf,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,3'133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,
,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Poppy plants,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,
,Northern America (including Mexico),Bermuda,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,Non-specified ATS,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",22,0,,0,1,0,3,1,27,5,9,4,7,8,58,40,25,5,4,8,12,667,5,1,,6,4,,,3,,,,,,,,,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,,,,,,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,5,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,0,0,0,24,,,,1,0,1,0,1,0,1,1,1,171,1,,2,,,4,5,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,23,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,,1,0,2,3,1,,2,2,,,,,,,,,,,,
,,,,Illicit morphine,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),236,97,1'878,654,558,496,73,36,42,50,76,25,135,22,361,79,107,92,92,87,137,32,360,39,,199,473,,,,,,,,,,,,
,,,Other drugs,Cannabis oil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,460,,135,172,44,,,,,,,,,,,5,87,,27,23,,3,,,,12,,,,,,,,,,,,
,,,,Cannabis seed,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LSD,,0,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,Methaqualone,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Canada,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,2,7,22,39,179,3,40,51,40,209,104,72,36
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,17,67,29,22,60,59,59,1'539,372,94,393,387,248,255,343,204,822,379,504
,,,,Non-specified ATS,114,35,15,119,9,13,13,1,10,,0,504,11,1,1,,1,2,58,24,17,0,0,3,0,0,1,1,21,1,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,2,0,0,458,246
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,0,1,8
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,15,33,1,,,,
,,,,"Cocaine (base, paste and salts)",43,39,46,98,116,109,103,145,278,703,248,1'249,4'517,4'469,8'357,3'598,3'123,2'090,563,1'651,283,1'673,180,472,3'168,2'524,2'682,2'642,2'273,2'385,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2'934,3'197,1'278,995,2'344,1'095,2'440,1'819,1'676
,,,,Crack,,,,,,,,,,,,,,,,,,,,,3,5,2,3,11,11,24,24,15,16,18,5,6,,,,,,
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,5,
,,,Ecstasy,Ecstasy-type substances,,,,,,,68,118,52,17,15,2,24,1,68,160,50,50,70,,967,633,119,61,1'542,390,816,1'007,715,405,529,192,68,129,15,22,133,54,52
,,,Hashish (resin),Hashish (resin),11'993,13'952,3'421,3'467,5'532,18'973,17'838,18'842,7'748,2'190,66'000,73'914,15'785,57'308,36'369,40'369,24'655,6'178,15'925,6'478,16'318,1'756,159,1'804,484,438,27'730,107,899,9'667,7'906,4'853,1'622,110,1'165,488,594,352,1'355
,,,Heroine and Morphine,Heroin,7,7,8,30,40,63,45,31,61,28,55,99,114,154,62,106,83,95,23,88,7,74,3,5,77,83,93,16,102,213,98,125,114,144,131,141,123,141,86
,,,,Illicit morphine,,1,1,2,1,0,0,0,3,0,1,0,0,0,2,1,0,1,2,2,2,1,1,2,0,4,1,2,28,1,7,2,7,5,8,2,3,,10
,,,Marijuana (herb),Marijuana (herb),33'879,7'147,17'887,23'361,5'604,3'771,8'316,26'476,25'493,3'746,16'091,7'468,13'722,93'365,95'631,149'265,176'673,50'624,27'300,44'541,70'222,6'834,13'278,9'889,33'777,56'226,13'154,49'919,37'169,34'392,50'677,44'284,30'387,39'193,19'213,14'143,16'917,16'698,12'315
,,,Opium,Opium,1,0,0,1,0,1,11,2,4,0,2,5,10,4,17,1,1,12,61,60,19,27,13,30,81,163,125,120,108,338,310,427,196,135,107,175,183,307,288
,,,Other drugs,Anabolic steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,193,267,421,199,159,361,830,236
,,,,Any Illicit drugs,,,,,51,23,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,1,0,0,19,12
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,30,52,10,5,9,691,28,30
,,,,Cannabis oil,144,583,262,194,209,211,100,235,269,261,360,409,424,,507,611,917,824,545,489,215,120,235,92,537,71,1'061,52,765,241,105,74,52,25,525,34,69,88,220
,,,,Cannabis plants,3'813,2'458,2'162,3'564,2'279,2'365,2'450,3'207,5'130,5'322,4'278,7'372,15'503,,,27'415,,77'629,102'581,130'448,119'942,137'261,223'974,278'905,154'830,205'572,222'500,187'818,182'886,184'574,194'363,138'186,110'295,80'336,63'960,62'542,56'077,42'650,806
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
,,,,Coca bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,30,
,,,,Coca leaf,,,,,,,,,,,,,,,0,,,0,,0,0,0,3,6,3,22,25,27,39,34,36,33,28,20,20,,,28,77
,,,,Depressants (excluding Methaqualone),1,8'092,1'150,0,148,0,,13,0,2,,1,0,,0,1,1,2,2,3,178,0,3,1,12,6,2,10,13,66,,,,,,,,,
,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,20,0
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,107,38,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,32,6,19,9,13,8,9,24,68,75,93,499,94,56,129,566,72,119
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27,266,111,2'321,9,272,75,17,2,1,551,803
,,,,LSD,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,0
,,,,Methaqualone,,,,214,,1,,0,1,0,,0,2,,0,0,0,,0,56,0,0,,,,,0,0,,0,0,1,,,0,,,,
,,,,Non-specified,0,8,6,4,1,0,,,,0,,,2,1,1,0,2,154,1'765,4,3,,,,,,,,,,,,,,,,,224,3
,,,,Non-specified hallucinogens,50,8,26,89,,344,,,,,,,,,,,,,,,322,37,211,86,129,105,111,,270,203,,,,,,,,,
,,,,Non-specified opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
,,,,Non-specified precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,
,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,21,443,247,40,145,19,135,189
,,,,Other illicit opioids,13,,,,,,3,,3,,,,,0,1,0,1,1,2,1,2,2,2,2,2,3,85,111,64,32'102,1'877,,,,0,0,73,0,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,331,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,0,0,0
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,67,84,,68,237,,,,,1,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,44,154
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,4,317,429,342,61,40,23,72,157,72
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0
,,,,Plant-based NPS,,,,,,,,,,,,,1'349,,,,,2'493,6'502,5'690,7'978,11'984,14'425,25'266,13'515,17'411,13'918,28'272,22'710,19'700,19'069,10'421,12'449,10'114,5'339,3'579,4'640,418,0
,,,,Poppy plants,,,,,,,,18,,,,,,,,0,5,2,2,1'500,,,,,,,,,,,6'600,9,,7,,,86,,
,,,,Poppy seed,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,,,Pseudoephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0
,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,Mexico,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,568,70,20,2,21,0,45,0,27,251,1,2,0,0,2,0,301,1,1,3
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,358,644,398,457,727,953,899,753,920,341,6'077,12'935,30'830,43'986,17'923,19'706,23'555,34'767,23'374,33'865
,,,,Non-specified ATS,2'624,31,0,0,7,19,24,,15,,13,,,267,290,500,181,39,98,,,,,,,,0,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",29,46,399,324,458,2'563,5'323,9'296,15'363,39'523,49'880,50'269,38'832,45'835,22'117,22'708,23'833,34'953,22'597,34'623,23'196,29'989,12'639,21'106,26'844,30'227,21'337,48'168,19'333,21'632,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9'893,11'320,3'410,6'074,2'817,8'100,12'970,11'998,16'490
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,1,1,0,2,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,31,,51,,,129,,,,611,93,,32,102,32,16,,7,26,0,0,1,2,0,0,0,1,1,2,1,0
,,,Hashish (resin),Hashish (resin),,,,,,1,23,,1,23,,,,,43,13'477,9,115,2,0,0,30,0,1,0,89,102,6,279,11,23,9,2,11,4,12,4,7,2
,,,Heroine and Morphine,Heroin,33,25,8,11,25,9,47,74,71,174,212,146,97,62,297,203,363,115,121,260,299,270,283,289,302,362,335,298,194,283,374,697,247,385,387,546,487,321,492
,,,,Illicit morphine,,,0,,10,2,1,11,3,4,4,,1,27,,3,,2,,1,4,1,0,1'410,,,1,125,0,2,,8,48,118,81,80,50,6,0
,,,Marijuana (herb),Marijuana (herb),69'873,156'881,71'174,68'052,8'560'018,173'449,192'807,394'543,277'529,752'511,594'779,254'957,404'553,494'665,529'933,780'169,1'015'756,1'038'470,1'062'144,1'471'960,2'050'402,1'839'357,1'633'326,2'160'309,2'164'161,1'781'064,1'892'658,2'176'748,1'657'853,2'104'954,2'313'115,1'798'940,1'311'310,958'501,868'457,1'242'342,840'890,400'310,230'987
,,,Opium,Opium,78,120,65,50,72,57,40,95,158,560,375,95,167,129,149,223,196,342,150,801,469,516,310,192,464,284,106,292,174,803,1'195,1'452,1'610,227,3'398,1'306,226,943,337
,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,230,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,12,,,,,
,,,,Cannabis oil,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,35'558,34'728,25'455,21'663,20'309,14'765,12'241,11'638,13'395,10'118,6'514,3'795,4'711,4'654,3'843,3'462,2'893
,,,,Cannabis seed,883,1'226,767,632,11'081,757,718,,895,6'181,2'812,2'961,5'132,5'427,4'639,7'422,5'099,3'968,4'949,5'848,10'354,7'661,10'214,13'776,14'154,,,10'134,9'987,15'253,20'068,13'458,8'310,2'628,2'705,3'491,3'370,1'716,609
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,
,,,,Depressants (excluding Methaqualone),,4'650,5,3,8,7,2,,0,2,5,2,1,,,,11,1,15,2,7,8,54,88,105,110,33,25,321,91,,,,,,,,,
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,LSD,,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,0,,0,0,,0,0
,,,,Methaqualone,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,27,0,6,,,15,15,34,83,53,89,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,41,352,30,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,8'054,5,,,,1,,,,,,,,,,,
,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196'850,3'130,,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,362
,,,,Poppy plants,,,,,,,,,,,,,,,,,,,,,,,,,12'919,13'267,11'650,,7'263,7'964,9'335,10'101,9'572,10'209,14'812,17'948,16'401,20'187,
,,,,Poppy seed,22,37,14,107,195,133,214,171,166,623,357,439,1'121,1'014,1'369,2'134,1'155,587,703,750,1'036,,,1'631,2'029,,,1'230,1'022,2'891,5'901,5'451,3'203,943,2'358,,,,
,,United States of America,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,131,43,91,63,11,36,11,155,143,,573,1'980,12'356,4'307,2'750,4'313,5'147,388
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,2'641,,94'689,14'381,10'572,24'061,7'669,7'408,5'419,11'683,13'042,14'604,24'589,34'252,29'894,37'613,41'200,51'612,61'940,82'401
,,,,Non-specified ATS,4'630,11'869,1'121,2'836,4'131,335,8'098,6'488,27'366,44'056,11'382,6'533,321,575,998,998,1'476,2'451,2'143,5,2'689,0,0,,56,157,1'377,163,14,,,,,,,,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,96,56,,1,1,0,
,,,Cocaine,Coca paste/cocaine base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,482,,,616
,,,,"Cocaine (base, paste and salts)",3'471,1'975,5'667,8'902,11'495,25'776,45'000,56'400,102'375,130'135,84'831,120'343,119'770,110'963,129'543,110'842,128'725,102'000,117'000,132'318,101'215,,,,,,,,,,,,,,,,,,
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,279,395,,,957
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,117'734,104'426,119'787,164'405,196'321,177'979,152'210,133'520,120'940,87'030,111'130,124'970,86'570,85'600,184'080,200'720,223'700,252'737
