Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,Depressants (excluding Methaqualone),947,208,146,206,145,,,5,12,19,19,,,,,,,,,,,,1,0,0,3,1,0,,0,0,,,,,,,,
,,,,LSD,,,,,,0,,,,,,,0,,,0,0,0,0,,0,,,0,,,,,,,,,,,0,,,0,
,,,,Methaqualone,,,,,,208,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,1'570,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,1'529,,,,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Other illicit opioids,,,,,,,,,,,,,8,5,,31,0,0,,0,1,,,,,,,,,,,,,,,,43,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,577,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12'642,12'114,
,,,,Plant-based NPS,,,,,,14,1,1,,,,,,,,28,4,2,4,14,,,,,,,,,,27,,88,25,15,3,,,,
,,,,Poppy plants,491'518,451'130,334'406,246'318,6'798,54'111,47'616,51'521,249'440,62'297,475'404,285'483,378'346,9'313'894,13'882'850,1'762'180,363'932'083,,3'021'400,15,56'270,10,19,,150,30,,161,,,,,,,,,,,
,,,,Poppy seed,,,,,,,0,0,0,,,,,,1'268,2'656,,,,180,185,,,,,39,118,,,220,,,,,,,,186,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
,,Libya,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,0,,,,0,1,21,1,0,2,0,0,0,6,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,20,,,,,,,,,117,251,2'574,2'245,2'343,1'355,592,310,472,1'476,3'419,7'033,4,3'134,4'353,11'321,18'606,,,,,,,,,,,,
,,,Heroine and Morphine,Heroin,,,,,,,,,,,2,4,3,7,3,5,2,1,5,4,10,13,7,7,24,23,18,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,18,,2'522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,0,1,1,2,1,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
,,Morocco,ATS (excluding ecstasy),Non-specified ATS,,,,,,,,,,,,,,,,,,,12,18,,,,,,,,,12,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,8,,0,,0,,21,4,4,22,17,5,0,2,6,91,6'056,30,2,1,4,16,3,4,843,54,249,34,23,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,57,24,14,632,120,1'621,2'837,1'691
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,0,4,2,3,131,149,292
,,,Hashish (resin),Hashish (resin),32'821,47'050,47'299,47'547,35'368,8'851,6'418,7'938,9'724,29'593,42'640,41'479,65'540,106'289,97'048,110'245,64'769,71'887,55'520,54'755,143'946,61'356,66'394,96'306,86'800,92'423,88'280,117'706,113'703,187'590,118'633,125'679,137'335,107'209,221'000,235'000,236'870,117'190,71'870
,,,Heroine and Morphine,Heroin,,,,,6,1,,3,,0,1,0,0,0,2,7,0,0,1,0,0,4,4,1,1,2,1,2,6,28,5,2,10,3,7,4,15,11,4
,,,,Illicit morphine,,,,,,,,,,,,0,,0,,,0,0,1,,,0,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,37'071,46'822,23'689,130'555,38'094,65'657,20'705,27'023,26'452,34'200,35'808,38'521,27'956,37'161,46'136,83'720,68'169,88'529,69'058,318'610,115'000,45'640,209'445,221'923,223'140,186'633,138'460,154'400,219'320,155'000,313'000,296'000,283'220,251'660
,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,3
,,,,Cannabis oil,17,36,8,20,9,24,,,,15,0,4,27,0,11,7,4,1,14,19,1,0,,6,,47,,,,,,,,,,,,,
,,,,Cannabis plants,,1'500,710,,88'509,86'400,29'219,3'860'500,9'989,91'592,,5'060,,238'923,6'316,,,,,,,73'811,93'206,20'284,,37'210,,,,,,,,,12'753,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,0,0,0,0,5,0,0,,,1,,1,1,,1,1,1,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,2,1,1,1,,1,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,287,145,,200,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1'993,2'250
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,10,3,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,Sudan,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,192,1,0,3'543,,440,78,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,Non-specified ATS,,,,,937,97,,,,,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,19
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,0,,0,1,0,,0,,,0,1,,2,2,,,,,,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,1
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,,,8'724,,1'663,,,872,,,,,,,,,3'500,
,,,Heroine and Morphine,Heroin,,,,,,,,,,3,1,0,1,1,8,6,1,,,0,,1,,,,,0,,,,0,,,3,,,,47,1'300
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,2'908,2'722,2'004,902,271'774,733,,1'082,44'662,73'943,52'971,,21'503,,,1'203,,,,1'888,,,,,,,,,,,,,,,,45'000,45'035,204'702
,,,Other drugs,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
,,,,Cannabis plants,,,158,,,,,,,,,10'084,65'741,,,,,,,,,,,,,,6'321,,4'500,17'255,12'006,34'501,23'988,13'630,10'314,,,205'000,
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,630,,,3'000,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,1,2,10,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,Other prescription medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,0,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13'907,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,2,,33,57,
,,,,Plant-based NPS,,,,,,,,,,,,,10,,,,,,,,,,,,,10,,,436,317,285,924,1'305,3'129,2'124,,10'880,2'570,
,,,,Poppy plants,,,,,,,,,,,,,,6'400,,,,,,,,,,,,,,,,,,,,,,,,,
