year,country,n
2016,USA,209
2016,Japan,578.09
2016,Great Britain,122.14
2016,Switzerland,309.92
2017,USA,205
2017,Japan,588.18
2017,Great Britain,67.75
2017,Switzerland,287.61
2018,USA,205
2018,Japan,534.91
2018,Great Britain,192.8
2018,Switzerland,276.94
2019,USA,205
2019,Japan,543.27
2019,Great Britain,133.51
2019,Switzerland,261.76
