year,country,n
2016,USA,455
2016,Japan,495.51
2016,Great Britain,61.07
2016,Norway,98.97
2016,Switzerland,101.65
2017,USA,608.5
2017,Japan,183.81
2017,Great Britain,54.2
2017,Norway,103.85
2017,Switzerland,99.24
2018,USA,608.5
2018,Japan,178.3
2018,Great Britain,102.83
2018,Norway,112.89
2018,Switzerland,96.37
2019,USA,255
2019,Japan,181.07
2019,Great Britain,106.81
2019,Norway,101.96
2019,Switzerland,92.47
